section,sheet,film_kr,film_en,field,korean,english
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,다이버시티 플라자,Diversity Plaza,바이오,"25년 이상 네팔 사회와 문화를 주제로 영화를 만들어 왔다. 네팔에서 가장 크고 오래된 축제를 비롯해, 개발과 변화, 걸프 지역으로의 노동 이주, 영국군 구르카 연대와 관련된 이야기 등을 다뤘다.","Kesang Tseten has been making films about Nepali society and culture for more than 25 years, on topics such as Nepal’s biggest and longest cultural festival; development and change, migration of Nepali workers to the Gulf region and, formerly, as Gurkha soldiers to the British army."
올해의 산 : 히말라야 - 네팔 Guest Country : Himalaya - NEPAL,GC,다이버시티 플라자,Diversity Plaza,영화정보,Nepal | 2023 | 69min | Color | Documentary | Korean Premiere,
인간 Human,HM,서부로 가다!,Go West,작품명,서부로 가다!,Go West
인간 Human,HM,서부로 가다!,Go West,시놉시스,"서부극을 풍자한 버스터 키튼의 작품. 친구 하나 없는 떠돌이가 ‘브라운 아이즈’라는 암소와 친구가 되어 함께 가축 수송 열차를 타고 목장으로 향한다. 도적들이 습격해 오자 그는 암소를 구해내고, 두 친구는 자동차 뒤 칸에 앉아 석양 속으로 사라진다.","Buster burlesques the Western in this comedy about a friendless drifter who befriends a cow named Brown Eyes and accompanies her on the cattle train to the stockyards. When rustlers attack, he saves her, and the two of them ride off into the sunset in the back of a motor car!"
인간 Human,HM,서부로 가다!,Go West,프로그램 노트,"감독의 장기인 슬랩스틱 코미디와 웃음기 없는 표정은, 애리조나 사막과 목장의 현실감 넘치는 로케이션 촬영을 바탕으로 전통 서부극을 유쾌하게 풍자하며 다시 한번 빛을 발한다.","The director’s trademark slapstick comedy and stone-faced expression shine once more, playfully parodying the classic Western against the realistic backdrop of the Arizona desert and a ranch."
인간 Human,HM,서부로 가다!,Go West,노트 작성자,프로그래머 이정진,"Jinna Lee, Programmer"
인간 Human,HM,서부로 가다!,Go West,감독명,버스터 키튼,Buster Keaton
인간 Human,HM,서부로 가다!,Go West,바이오,"무성영화계 ‘위대한 무표정’으로 불린 미국의 코미디언이자 감독. 특유의 무표정한 얼굴과 죽음을 무릅쓰는 상상초월의 스턴트로 시각 코미디의 거장으로 자리매김했다. 대표작으로는 <셜록 2세>, <장군>, <스팀보트 빌 주니어> 등이 있다.","An American film comedian and director, known as the “Great Stone Face” of the silent screen. Keaton’s distinctive deadpan expression and imaginative, death-defying stunts set him apart as a virtuoso of visual comedy. His notable films include Sherlock, Jr., The General, and Steamboat Bill, Jr.."
인간 Human,HM,서부로 가다!,Go West,영화정보,USA | 1925 | 83min | B&W | Fiction | None Premiere,
인간 Human,HM,그해 겨울은 따뜻했네,Warm It Was That Winter,작품명,그해 겨울은 따뜻했네,Warm It Was That Winter
인간 Human,HM,그해 겨울은 따뜻했네,Warm It Was That Winter,시놉시스,"6.25 전쟁으로 부모를 잃은 수지와 오목은 오빠 수철과 외가에 얹혀 산다. 피난길에서 수지는 동생을 잃고, 세월이 흐른 뒤 상류층이 된 수지는 죄책감에 오목을 찾지만 확인을 거부한다. 고아원 출신 일환과 결혼한 오목은 고생 끝에 세상을 떠나고, 수지는 비로소 진실을 깨닫는다.","During the Korean War, Su-ji and Oh-mok lose their parents and live off their maternal relatives with their older brother, Su-cheol. On the road as refugees, Su-ji loses her younger sister. Years later, having risen to the upper class, she tries to find Oh-mok out of guilt, but ultimately denies the truth. Meanwhile, Oh-mok, who marries Il-hwan, an orphan, endures a life of hardship and eventually passes away. Only then does Su-ji finally come to terms with the truth."
인간 Human,HM,그해 겨울은 따뜻했네,Warm It Was That Winter,프로그램 노트,"배창호 감독의 이 영화는, 1984년에만 두 편을 연출할 정도의 열정과 매 장면 공들여 찍는 섬세한 장인 정신, 그리고 배우들의 최고의 연기를 끌어내는 연출력, 게다가 현장감 넘치는 로케이션 촬영이 어우러진 작품이다.","Director Bae Chang-ho’s film is a work that blends the fiery passion behind directing two movies in a single year, the meticulous craftsmanship evident in every shot, the directorial skill that draws out the actors’ finest performances, and the immersive realism of on-location shooting."
인간 Human,HM,그해 겨울은 따뜻했네,Warm It Was That Winter,노트 작성자,프로그래머 이정진,"Jinna Lee, Programmer"
인간 Human,HM,그해 겨울은 따뜻했네,Warm It Was That Winter,감독명,배창호,Bae Chang-ho
인간 Human,HM,그해 겨울은 따뜻했네,Warm It Was That Winter,바이오,"1982년 <꼬방동네 사람들>로 데뷔해 <적도의 꽃>, <고래사냥>등 흥행작으로 상업 영화감독 입지를 다졌다. 이후 <젊은 남자>로 다시 성공했으며, <러브 스토리>, <정>, <흑수선>등 다양한 작품을 통해 사랑과 휴머니즘을 담아냈다.","Bae Chang-ho made his directorial debut with People in the Slum in 1982, establishing himself in commercial cinema with box-office hits such as The Flower on the Equator and Whale Hunting. He later returned to success with The Young Man and went on to explore themes of love and humanity through numerous works, including Love Story, My Heart and The Last Witness."
인간 Human,HM,그해 겨울은 따뜻했네,Warm It Was That Winter,영화정보,Korea | 1984 | 121min | Color | Fiction | None Premiere,
인간 Human,HM,누룩,The Yeast,작품명,누룩,The Yeast
인간 Human,HM,누룩,The Yeast,시놉시스,"성격도 성적도 빼어난 열여덟 다슬은 막걸리를 유난히 사랑한다. 다슬의 양조장은 전통 방식을 고수하며, 마을에서 맛으로 평이 자자하다. 비밀은 바로 출처 불명의 누룩. 그런데 어느 날, 다슬이 전과 전혀 다른 사람이 되어버린다. 생기와 특유의 발랄함을 잃은 다슬은 ‘누룩이 사라졌다’며 앓아 눕는다. 그러나 누구도 그녀의 말을 믿어주지 않고, 다슬은 홀로 사라진 누룩을 찾아 나선다.","18-year-old Da-seul who excels in both personality and academics has a deep love for makgeolli. Her brewery, known for sticking to traditional brewing methods, is renowned throughout the village for its rich flavor. Its secret lies in a mysterious yeast. But one day, Da-seul is no longer herself. She loses her energy and signature cheerfulness, claiming that the yeast has disappeared. No one believes her, so she sets out alone in search of the missing yeast."
인간 Human,HM,누룩,The Yeast,프로그램 노트,"<누룩>은 다슬의 믿음을 형상화한 영화입니다. 어린 시절, 양조장에서 발견된 출처를 알 수 없는 누룩과 그 특별함을 굳게 믿는 다슬. 영화는 그런 다슬을 바라보는 주변의 반응과 누룩이 사라진 뒤 흔들리는 다슬의 내면을 따라갑니다.",The Yeast embodies Da-seul's belief in the special nature of a mysterious yeast she found in a brewery as a child. This film follows the reactions of those around her and the way her inner world begins to waver after the yeast disappears.
인간 Human,HM,누룩,The Yeast,노트 작성자,감독 장동윤,"Jang Dong-yoon, Director"
인간 Human,HM,누룩,The Yeast,감독명,장동윤,Jang Dong-yoon
인간 Human,HM,누룩,The Yeast,바이오,"2016년 배우로 데뷔한 이래 <뷰티풀 데이즈>, 「녹두전」, 「악마들」, 「모래에도 꽃이 핀다」, 「정신병동에도 아침이 와요」 등 영화와 드라마를 넘나들며 다양한 연기 활동을 하고 있다. <누룩>은 직접 각본과 연출을 맡은 첫 장편영화이다.","Since his debut as an actor in 2016, he has appeared in a wide range of films and TV series, including Beautiful Days, KBS’s The Tale of Nokdu, Devils, ENA’s Like Flowers in Sand, and Netflix’s Daily Dose of Sunshine. The Yeast is his first feature as both screenwriter and director."
인간 Human,HM,누룩,The Yeast,영화정보,Korea | 2024 | 84min | Color | Fiction | None Premiere,
인간 Human,HM,돈,The Money,작품명,돈,The Money
